route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,scheduled_trip_id,train_id
RED,44_R,9411468_20454,"GLENMONT",0,,RRED_1,9411468,109
RED,44_R,9411457_20454,"GLENMONT",0,,RRED_1,9411457,110
RED,44_R,9411481_20454,"GLENMONT",0,,RRED_1,9411481,111
RED,44_R,9411492_20454,"GLENMONT",0,,RRED_1,9411492,113
RED,44_R,9411477_20454,"GLENMONT",0,,RRED_1,9411477,114
RED,44_R,9411478_20454,"GLENMONT",0,,RRED_1,9411478,115
RED,44_R,9411503_20454,"GLENMONT",0,,RRED_1,9411503,116
RED,44_R,9411490_20454,"GLENMONT",0,,RRED_1,9411490,117
RED,44_R,9411472_20454,"GLENMONT",0,,RRED_1,9411472,118
RED,44_R,9411498_20454,"GLENMONT",0,,RRED_1,9411498,119
RED,44_R,9411497_20454,"GLENMONT",0,,RRED_1,9411497,120
RED,44_R,9411494_20454,"GLENMONT",0,,RRED_1,9411494,121
RED,44_R,9411484_20454,"GLENMONT",0,,RRED_1,9411484,122
RED,44_R,9411480_20454,"GLENMONT",0,,RRED_1,9411480,123
RED,44_R,9411799_20454,"GLENMONT",0,,RRED_1,9411799,124
RED,44_R,9411800_20454,"GLENMONT",0,,RRED_1,9411800,125
RED,44_R,9411801_20454,"GLENMONT",0,,RRED_1,9411801,101
RED,44_R,9411802_20454,"GLENMONT",0,,RRED_1,9411802,102
RED,44_R,9411803_20454,"GLENMONT",0,,RRED_1,9411803,103
RED,44_R,9411804_20454,"GLENMONT",0,,RRED_1,9411804,104
RED,44_R,9411805_20454,"GLENMONT",0,,RRED_1,9411805,105
RED,44_R,9411806_20454,"GLENMONT",0,,RRED_1,9411806,106
RED,44_R,9411807_20454,"GLENMONT",0,,RRED_1,9411807,107
RED,44_R,9411808_20454,"GLENMONT",0,,RRED_1,9411808,108
RED,44_R,9411473_20454,"GLENMONT",0,,RRED_1,9411473,109
RED,44_R,9411489_20454,"GLENMONT",0,,RRED_1,9411489,110
RED,44_R,9411500_20454,"GLENMONT",0,,RRED_1,9411500,111
RED,44_R,9411510_20454,"GLENMONT",0,,RRED_1,9411510,113
RED,44_R,9411537_20454,"GLENMONT",0,,RRED_1,9411537,114
RED,44_R,9411513_20454,"GLENMONT",0,,RRED_1,9411513,115
RED,44_R,9411527_20454,"GLENMONT",0,,RRED_1,9411527,116
RED,44_R,9411531_20454,"GLENMONT",0,,RRED_1,9411531,117
RED,44_R,9411517_20454,"GLENMONT",0,,RRED_1,9411517,118
RED,44_R,9411514_20454,"GLENMONT",0,,RRED_1,9411514,119
RED,44_R,9411534_20454,"GLENMONT",0,,RRED_1,9411534,120
